ParticipantID,Stimulus,Complexity,Distraction,PressedKey,CorrectKey,ReactionTime,Timestamp
4,#B80000,Pre-attentive,Yes,72,Yes,0:00:00.840629,2019-05-15 10:20:24.327528
4,34,Attentive,Yes,71,Yes,0:00:01.015403,2019-05-15 10:20:26.343892
4,#B80000,Pre-attentive,No,72,Yes,0:00:00.616756,2019-05-15 10:20:27.962769
4,46,Attentive,No,71,Yes,0:00:00.629931,2019-05-15 10:20:29.595741
4,#B80000,Pre-attentive,Yes,72,Yes,0:00:00.760398,2019-05-15 10:20:31.360287
4,36,Attentive,Yes,71,Yes,0:00:00.791830,2019-05-15 10:20:33.156140
4,#00008B,Pre-attentive,No,71,Yes,0:00:00.826568,2019-05-15 10:20:34.984169
4,20,Attentive,No,71,Yes,0:00:00.772527,2019-05-15 10:20:36.758427
4,#00008B,Pre-attentive,Yes,71,Yes,0:00:01.005516,2019-05-15 10:20:38.765691
4,11,Attentive,Yes,72,Yes,0:00:00.722096,2019-05-15 10:20:40.499428
4,#B80000,Pre-attentive,No,72,Yes,0:00:00.917280,2019-05-15 10:20:42.417661
4,11,Attentive,No,72,Yes,0:00:00.891416,2019-05-15 10:20:44.328864
4,#00008B,Pre-attentive,Yes,71,Yes,0:00:00.798064,2019-05-15 10:20:46.130610
4,47,Attentive,Yes,72,Yes,0:00:01.001020,2019-05-15 10:20:48.134865
4,#00008B,Pre-attentive,No,71,Yes,0:00:00.553318,2019-05-15 10:20:49.690671
4,36,Attentive,No,71,Yes,0:00:00.705324,2019-05-15 10:20:51.398608
4,#00008B,Pre-attentive,Yes,71,Yes,0:00:00.895006,2019-05-15 10:20:53.295722
4,24,Attentive,Yes,71,Yes,0:00:00.642323,2019-05-15 10:20:54.940278
4,#B80000,Pre-attentive,No,72,Yes,0:00:00.699065,2019-05-15 10:20:56.641827
4,5,Attentive,No,72,Yes,0:00:00.695231,2019-05-15 10:20:58.342650
4,#00008B,Pre-attentive,Yes,71,Yes,0:00:00.790971,2019-05-15 10:21:00.136839
4,36,Attentive,Yes,71,Yes,0:00:01.030053,2019-05-15 10:21:02.171338
4,#B80000,Pre-attentive,No,72,Yes,0:00:00.654561,2019-05-15 10:21:03.828031
4,32,Attentive,No,71,Yes,0:00:00.672745,2019-05-15 10:21:05.504041
4,#B80000,Pre-attentive,Yes,72,Yes,0:00:01.044640,2019-05-15 10:21:07.550180
4,44,Attentive,Yes,71,Yes,0:00:00.838995,2019-05-15 10:21:09.391338
4,#B80000,Pre-attentive,No,72,Yes,0:00:01.122374,2019-05-15 10:21:11.526684
4,29,Attentive,No,72,Yes,0:00:00.720701,2019-05-15 10:21:13.251337
4,#00008B,Pre-attentive,Yes,71,Yes,0:00:00.782006,2019-05-15 10:21:15.036079
4,1,Attentive,Yes,72,Yes,0:00:01.728710,2019-05-15 10:21:17.766190
4,#B80000,Pre-attentive,No,72,Yes,0:00:00.940166,2019-05-15 10:21:19.708201
4,40,Attentive,No,71,Yes,0:00:01.124490,2019-05-15 10:21:21.835838
4,#00008B,Pre-attentive,Yes,71,Yes,0:00:00.839903,2019-05-15 10:21:23.678784
4,13,Attentive,Yes,72,Yes,0:00:00.820164,2019-05-15 10:21:25.501769
4,#B80000,Pre-attentive,No,71,No,0:00:00.675255,2019-05-15 10:21:27.178929
4,4,Attentive,No,71,Yes,0:00:01.355959,2019-05-15 10:21:29.537520
